Title,ReleaseYear,Description,EpCount
Breaking Bad,2008,"A chemistry teacher turns to making meth after a cancer diagnosis.",62
Stranger Things,2016,"A group of kids uncover supernatural mysteries in their town.",34
Game of Thrones,2011,"Noble families battle for control of the Iron Throne.",73
The Office,2005,"A mockumentary about the daily lives of office workers.",201
Avatar: The Last Airbender,2005,"Aang must master the elements and bring peace to the world.",61
Euphoria,2019,"Teens navigate identity, trauma, addiction, and relationships.",18
The Mandalorian,2019,"A bounty hunter protects a mysterious child in the Star Wars universe.",24
The Crown,2016,"The life and reign of Queen Elizabeth II.",60
BoJack Horseman,2014,"A washed-up actor struggles with addiction and self-worth.",77
Grey's Anatomy,2005,"Surgeons navigate their careers, relationships, and personal lives.",430
